Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC Secondary Heating Type And Fuel,HVAC Secondary Heating Efficiency,HVAC System Is Faulted,Dehumidifier,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,ASHRAE IECC Climate Zone 2004,County and PUMA,CEC Climate Zone,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Foundation Type,Corridor,Vacancy Status,Tenure,Income,Income RECS2015,Income RECS2020,Neighbors,Radiant Barrier,Roof Material,Insulation Slab,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,HVAC System Single Speed AC Airflow,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Charge,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Heating Setpoint Offset Period,Cooling Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Has PV,PV System Size,PV Orientation,Battery,PUMA Metro Status,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Type Height,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Stories Low Rise,Geometry Attic Type,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,Geometry Garage,Bedrooms,Occupants,Federal Poverty Level,Area Median Income,Window Areas,Insulation Ceiling,Insulation Roof,Insulation Wall,HVAC Cooling Partial Space Conditioning,Infiltration,REEDS Balancing Area,Generation And Emissions Assessment Region,City,AIANNH Area,Household Has Tribal Persons
82,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour5,Hour12,5A,"G1901130, G19001000",None,"IA, Linn County",Non-CBSA West North Central,5A,IA,CR02,West North Central,West North Central,Midwest,MISO,Cold,"IA, 01000",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Heated Basement,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Room AC,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,"Room AC, EER 10.7",None,None,None,None,70F,75F,Yes,No,3F,0F,Day and Night -4h,None,None,"EF 17.6, 100% Usage","Electric, 120% Usage",None,Yes,"Standard, 120% Usage","Gas, 120% Usage",100% Incandescent,95%,None,None,None,None,None,None,No,None,No,None,None,None,"In metro area, not/partially in principal city",1000-1499,0-1499,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",None,2,3,400%+,100-120%,F15 B15 L15 R15,R-38,"Unfinished, Uninsulated","Wood Stud, R-19",20% Conditioned,25 ACH50,70,MROWc,"IA, Cedar Rapids",No,No
83,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour4,Hour17,4A,"G2900950, G29001001",None,"MO, Jackson County",Non-CBSA West North Central,4A,MO,CR08,West North Central,West North Central,Midwest,SPP,Mixed-Humid,"MO, 01001",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Metal",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Room AC,None,None,"Fuel Boiler, 76% AFUE",No,Natural Gas Fuel Boiler,"Room AC, EER 9.8",None,None,None,None,65F,75F,Yes,No,3F,0F,Night,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 80% Usage","290 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,95%,EF 17.6,"EF 12, National Average",None,None,None,None,No,None,No,None,None,None,"In metro area, principal city",3000-3999,2500-3999,3,Single-Family Detached,None,None,None,3,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,5,4,400%+,150%+,F12 B12 L12 R12,R-7,"Unfinished, Uninsulated","Wood Stud, Uninsulated",40% Conditioned,15 ACH50,54,SPNOc,"MO, Kansas City",No,No
84,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour7,Hour17,4B,"G0600170, G06001700",12,"CA, El Dorado County",Non-CBSA Pacific,4B,CA,CR11,Pacific,Pacific,West,CAISO,Mixed-Dry,"CA, 01700",Single-Family Detached,1970s,1960-79,Single-Family Detached,Propane,None,None,Slab,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,"Single, Clear, Metal",Yes,Propane,Propane Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Propane Fuel Furnace,"AC, SEER 10",None,None,None,None,68F,78F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% LED,94%,EF 17.6,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Stucco, Light",2 Car,3,2,400%+,120-150%,F12 B12 L12 R12,R-7,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,15 ACH50,9,CAMXc,Not in a census Place,No,No
85,Low,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,Gas Lighting,None,"Cooling Season, 7 days/wk",None,Hour6,Hour17,3B,"G3200030, G32000409",None,"NV, Clark County",Non-CBSA Mountain,3B,NV,CR10,Mountain,Mountain South,West,None,Hot-Dry,"NV, 00409",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,None,None,Slab,Double-Loaded Interior,Occupied,Renter,25000-29999,20000-39999,20000-39999,27,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,"Double, Low-E, Non-metal, Air, M-Gain",Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,"AC, SEER 15",None,None,None,None,68F,70F,Yes,Yes,3F,9F,Night +5h,Day Setup +5h,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 80% Usage","318 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",No,None,None,None,"In metro area, not/partially in principal city",1000-1499,0-1499,4,"Multifamily with 5+ units, 4-7 stories",Middle,67,Middle,4+,None,<8,Wood Frame,"Stucco, Light",None,2,2,150-200%,30-60%,F30 B30 L30 R30,None,"Finished, R-30","Wood Stud, R-15",100% Conditioned,10 ACH50,13,AZNMc,"NV, Paradise",No,No
86,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour1,Hour20,4A,"G4200910, G42003106",None,"PA, Montgomery County","CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"PA, 03106",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Metal",Yes,Electricity,Electric Premium,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,67F,78F,No,Yes,0F,2F,None,Day Setup +2h,None,"EF 15.9, 100% Usage","Gas, 120% Usage",None,Yes,"Standard, 120% Usage","Gas, 120% Usage",100% LED,101%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",No,None,None,None,"In metro area, not/partially in principal city",2000-2499,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Brick,None,1 Car,3,4,400%+,150%+,F9 B9 L9 R9,R-38,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",100% Conditioned,20 ACH50,122,RFCEc,Not in a census Place,No,No
87,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour18,Hour17,5B,"G0800310, G08000815",None,"CO, Denver County",Non-CBSA Mountain,5B,CO,CR05,Mountain,Mountain North,West,None,Cold,"CO, 00815",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Heated Basement,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Non-metal",Yes,Electricity,Electric Standard,Ducted Heating,None,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,65F,75F,No,Yes,0F,5F,None,Night Setup +5h,Standard Efficiency,"EF 19.9, 100% Usage","Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,91%,EF 17.6,"EF 12, National Average",None,None,None,None,Yes,"0% Leakage, Uninsulated",No,None,None,None,"In metro area, not/partially in principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",None,3,2,400%+,150%+,F15 B15 L15 R15,R-38,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,15 ACH50,33,RMPAc,"CO, Denver",No,No
88,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour18,Hour16,3B,"G3200030, G32000411",None,"NV, Clark County",Non-CBSA Mountain,3B,NV,CR10,Mountain,Mountain South,West,None,Hot-Dry,"NV, 00411",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,"Tile, Clay or Ceramic",Uninsulated,None,None,None,"Double, Clear, Metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 76% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,65F,75F,Yes,Yes,12F,5F,Night +1h,Night Setup -1h,None,"EF 19.9, 100% Usage","Gas, 80% Usage","318 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% LED,84%,None,None,Electric,None,None,None,Yes,"30% Leakage, R-8",No,None,None,None,"In metro area, not/partially in principal city",4000+,4000+,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Stucco, Light",3 Car,5,4,400%+,150%+,F12 B12 L12 R12,R-30,"Unfinished, Uninsulated","Wood Stud, R-15",100% Conditioned,2 ACH50,13,AZNMc,"NV, Henderson",No,No
89,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour8,Hour10,5A,"G2601210, G26000700",None,"MI, Muskegon County",Non-CBSA East North Central,5A,MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 00700",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Not Applicable,Occupied,Owner,60000-69999,60000-79999,60000-99999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 10",None,None,None,None,68F,70F,No,No,0F,0F,None,None,None,"EF 17.6, 100% Usage","Gas, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,85%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",No,None,None,None,"In metro area, not/partially in principal city",2500-2999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Brick,None,None,4,2,300-400%,120-150%,F6 B6 L6 R6,R-19,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",100% Conditioned,20 ACH50,103,RFCMc,Not in a census Place,No,No
90,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour17,Hour19,5B,"G0800310, G08000812",None,"CO, Denver County",Non-CBSA Mountain,5B,CO,CR05,Mountain,Mountain North,West,None,Cold,"CO, 00812",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Premium,Ducted Heating,None,None,None,"Fuel Furnace, 76% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,70F,72F,Yes,No,6F,0F,Night +1h,None,None,"EF 17.6, 100% Usage","Electric, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,91%,EF 6.7,"EF 12, National Average",None,None,None,None,Yes,"30% Leakage, Uninsulated",No,None,None,None,"In metro area, principal city",2500-2999,2500-3999,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,4,2,400%+,150%+,F30 B30 L30 R30,R-38,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,15 ACH50,33,RMPAc,"CO, Denver",No,No
91,Low,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour0,Hour19,6A,"G5500590, G55010000",None,"WI, Kenosha County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",6A,WI,CR02,East North Central,East North Central,Midwest,MISO,Cold,"WI, 10000",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Heated Basement,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Room AC,None,None,"Fuel Wall/Floor Furnace, 68% AFUE",No,Natural Gas Fuel Wall/Floor Furnace,"Room AC, EER 9.8",None,None,None,None,68F,78F,Yes,No,3F,0F,Night -5h,None,None,"EF 17.6, 100% Usage","Gas, 80% Usage",None,Yes,"Standard, 80% Usage","Electric, 80% Usage",100% CFL,85%,None,"EF 12, National Average",None,None,None,None,No,None,No,None,None,None,"In metro area, not/partially in principal city",750-999,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",None,2,2,400%+,120-150%,F9 B9 L9 R9,R-13,"Unfinished, Uninsulated","Wood Stud, R-7",20% Conditioned,15 ACH50,79,RFCWc,"WI, Kenosha",No,No
92,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour6,Hour15,1A,"G1200110, G12001108",None,"FL, Broward County","CBSA Miami-Fort Lauderdale-West Palm Beach, FL",1A,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 01108",Single-Family Detached,1950s,1940-59,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,"Single, Clear, Non-metal",Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,"AC, SEER 13",None,None,None,None,68F,78F,No,No,0F,0F,None,None,Standard Efficiency,"EF 15.9, 100% Usage","Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,106%,None,None,None,None,None,None,Yes,"10% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Brick, Medium/Dark",None,4,5,400%+,150%+,F9 B9 L9 R9,R-13,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,20 ACH50,102,FRCCc,"FL, Fort Lauderdale",No,No
93,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour20,Hour12,1A,"G1200860, G12008604",None,"FL, Miami-Dade County","CBSA Miami-Fort Lauderdale-West Palm Beach, FL",1A,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 08604",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,None,None,Slab,Double-Loaded Interior,Occupied,Renter,50000-59999,40000-59999,40000-59999,27,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,"Single, Clear, Metal",Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,"AC, SEER 13",None,None,None,None,70F,75F,Yes,Yes,3F,2F,Night +5h,Night Setback +5h,None,"EF 17.6, 100% Usage","Electric, 120% Usage",None,None,None,None,100% CFL,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",750-999,0-1499,3,"Multifamily with 5+ units, 1-3 stories",Middle,67,Middle,3,None,<8,Brick,"Stucco, Light",None,2,2,300-400%,80-100%,F18 B18 L18 R18,None,"Finished, R-19","Brick, 12-in, 3-wythe, R-7",100% Conditioned,20 ACH50,102,FRCCc,"FL, Aventura",No,No
94,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour9,Hour5,3A,"G1302450, G13004000",None,"GA, Richmond County",Non-CBSA South Atlantic,3A,GA,CR09,South Atlantic,South Atlantic,South,None,Mixed-Humid,"GA, 04000",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,50000-59999,40000-59999,40000-59999,Left/Right at 15ft,No,"Asphalt Shingles, Medium",Uninsulated,None,None,None,"Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,70F,76F,No,Yes,0F,2F,None,Day Setup +5h,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,106%,None,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",1000-1499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Brick, Medium/Dark",None,2,2,300-400%,100-120%,F9 B9 L9 R9,R-30,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,15 ACH50,94,SRSOc,"GA, Augusta-Richmond County Consolidated Government Balance",No,No
95,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour2,Hour19,3A,"G0101010, G01002000",None,"AL, Montgomery County",Non-CBSA East South Central,3A,AL,CR09,East South Central,East South Central,South,None,Hot-Humid,"AL, 02000",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,"Metal, Dark",Uninsulated,None,None,None,"Single, Clear, Metal",Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 10",None,None,None,None,68F,75F,No,Yes,0F,2F,None,Night Setback -4h,Standard Efficiency,"EF 19.9, 100% Usage","Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,110%,None,None,None,Has Pool,Electric,1.0 HP Pump,Yes,"20% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Brick, Medium/Dark",None,3,4,300-400%,120-150%,F12 B12 L12 R12,R-30,"Unfinished, Uninsulated","Wood Stud, R-7",100% Conditioned,15 ACH50,90,SRSOc,"AL, Montgomery",No,No
96,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour3,Hour17,3B,"G0600370, G06003730",9,"CA, Los Angeles County","CBSA Los Angeles-Long Beach-Anaheim, CA",3B,CA,CR11,Pacific,Pacific,West,None,Hot-Dry,"CA, 03730",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,None,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,None,None,None,None,None,70F,78F,No,Yes,0F,9F,None,Night Setup +2h,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,94%,None,None,None,None,None,None,No,None,No,None,None,None,"In metro area, principal city",1500-1999,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",None,2,2,400%+,150%+,F12 B12 L12 R12,R-7,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,15 ACH50,10,CAMXc,"CA, Los Angeles",No,No
97,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour23,Hour21,4A,"G2101170, G21002400",None,"KY, Kenton County",Non-CBSA East South Central,4A,KY,CR08,East South Central,East South Central,South,PJM,Mixed-Humid,"KY, 02400",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Heated Basement,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Central AC,None,None,"Fuel Wall/Floor Furnace, 68% AFUE",No,Natural Gas Fuel Wall/Floor Furnace,"AC, SEER 13",None,None,None,None,68F,68F,Yes,No,3F,0F,Night -3h,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% CFL,110%,None,None,None,None,None,None,Yes,"0% Leakage, Uninsulated",No,None,None,None,"In metro area, not/partially in principal city",1500-1999,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Vinyl, Light",2 Car,3,2,400%+,120-150%,F18 B18 L18 R18,R-13,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,25 ACH50,109,SRTVc,In another census Place,No,No
